income,employment_status,employment_duration_months,debt_to_income_ratio,payment_history_score,existing_loans_count,total_debt,savings_balance
158421.70280652895,unemployed,146,0.33551717942580767,59.26623480218844,2,53153.53840265958,27896.139260873224
67843.55342554077,employed,210,0.08282552328911857,71.66306608537849,1,5619.260639786977,6653.181542053196
21978.830215746464,employed,145,1.4134852748656355,64.64917945113487,1,31068.166354004392,8715.114698289535
241788.8781682365,employed,56,0.15608443398319957,98.30874830055205,2,37739.63627675598,0.0
20004.668375858124,unemployed,202,0.0,91.48499626612775,0,0.0,10313.177441731079
30490.416121710125,employed,233,1.8,98.24211190618786,4,98457.61140218553,17392.081967672762
79218.16085503498,self_employed,205,0.2880852575754289,94.23421385841813,1,22821.872359832087,54694.04212573883
19190.24273957813,employed,227,0.0,97.57593712160796,0,0.0,3780.7961336751973
66998.89242731947,employed,116,0.0,99.92514340399742,0,0.0,3456.643329940703
62561.600620474266,retired,22,1.4434594229345745,73.60035814046222,3,90306.57538891604,15461.109760910442
118067.50868262461,retired,17,0.0,85.26661869499172,0,0.0,83820.8032280113
19542.775802247994,self_employed,76,0.0,84.11428124762543,0,0.0,5416.7772797944735
19040.39362601684,employed,144,0.0,93.90387114988091,0,0.0,3437.393991009678
116009.35089024468,retired,173,0.5850312676421371,99.37779791912466,4,67869.68264092896,28804.740304528896
29546.97886795635,employed,115,0.8503678352358355,96.01947594307094,1,25126.650825538254,0.0
133753.07294584304,employed,116,0.0,95.35453744230718,0,0.0,97353.36624005045
43502.45026267735,employed,124,0.0,61.35792807026223,0,0.0,28088.906406485858
59101.93402337838,self_employed,225,0.0,94.90568212219156,0,0.0,39073.01253902009
27166.92050347592,employed,85,0.45913978293203817,90.29118067122496,2,12473.873122680803,12689.304906603238
226190.970997939,employed,88,0.0,79.71225806040584,0,0.0,110623.97027052914
23632.638514798266,employed,30,1.110951088498068,96.5250590345043,1,26255.816433185,14127.111941381603
87436.95698381036,employed,208,0.0,95.17506059887783,0,0.0,0.0
250000.0,employed,233,0.0,69.78226819986975,0,0.0,25327.425103674876
100304.60659975413,self_employed,98,0.0,79.54731380405809,0,0.0,3215.2911543795735
89001.75465508483,retired,23,0.0,92.45955967712092,0,0.0,35467.53203851198
26481.944837567375,unemployed,64,0.0,79.27862727829917,0,0.0,16330.13411416835
21030.301654166513,employed,177,1.099659025282856,81.76654557165199,1,23127.260677450464,12664.063017406119
18037.026460152178,employed,115,0.0,88.80706147940978,0,0.0,8983.151945798156
63355.30900595554,retired,192,0.27050309529504224,87.27762674039022,1,17138.077692580133,16323.750570489534
22326.729459704067,employed,232,0.0,85.82462919372776,0,0.0,17153.479327261513
49231.388737108144,employed,43,0.9417191480942169,93.93941879478362,2,46363.0831801528,15521.028235788213
24221.757470769437,employed,44,1.138241151686707,60.60174395041216,1,27571.33936055639,10014.955872033148
28514.353601575676,employed,117,1.2685357756588398,59.06455818756383,1,36172.746199160894,5174.490676532779
54398.304119001805,self_employed,218,0.0,97.95523780213865,0,0.0,19423.517653500832
35832.61245434728,self_employed,24,0.0,86.6777579091635,0,0.0,28262.877575868613
33613.48189486076,employed,145,0.17331265147664698,90.08942931238384,1,5825.814985212062,0.0
67904.22487551144,retired,235,0.22069255602282456,73.33003269958965,1,14986.177645081309,8292.907467248164
88146.72940264862,employed,192,1.1940999705185,73.04857234332819,3,105257.20108097544,57343.477353398535
71134.1851057533,retired,41,1.0138937830774917,76.96318809667466,2,72123.52193678985,0.0
36764.049012906245,employed,74,0.20638480640732348,78.7495816563802,1,7587.747523084415,28232.339381046837
143631.70633924913,self_employed,167,0.0,91.88361043769694,0,0.0,93434.37887986208
61466.95035700612,employed,72,0.13973435517983943,99.21471050283154,1,8589.18440736263,41898.25414082622
